node,depth,gemma2-2b-it,llama3.2-3b-instruct
0,2.0,0.6166776532630192,0.3833223467369809
1,3.0,0.6689419795221843,0.3310580204778157
2,4.0,0.6263736263736264,0.37362637362637363
3,5.0,0.6272727272727272,0.37272727272727274
4,4.0,0.6941176470588235,0.3058823529411765
5,5.0,0.6901408450704225,0.30985915492957744
6,6.0,0.7017543859649122,0.2982456140350877
7,7.0,0.69,0.31
8,3.0,0.6132075471698113,0.3867924528301887
9,4.0,0.6373626373626373,0.3626373626373626
10,5.0,0.6567164179104478,0.34328358208955223
11,3.0,0.5520833333333333,0.4479166666666667
12,4.0,0.5667938931297709,0.43320610687022904
13,4.0,0.5,0.5
14,3.0,0.43617021276595747,0.5638297872340425
15,4.0,0.46354166666666663,0.5364583333333334
16,5.0,0.4606741573033708,0.5393258426966292
17,6.0,0.4035087719298246,0.5964912280701754
18,3.0,0.6689189189189189,0.3310810810810811
19,4.0,0.6287878787878788,0.3712121212121212
20,5.0,0.6517857142857143,0.3482142857142857
21,3.0,0.6663286004056795,0.33367139959432046
22,4.0,0.6085714285714285,0.3914285714285714
23,5.0,0.5803571428571428,0.41964285714285715
24,6.0,0.607843137254902,0.39215686274509803
25,4.0,0.6981132075471699,0.3018867924528302
26,5.0,0.625,0.375
27,5.0,0.676056338028169,0.323943661971831
28,5.0,0.6833333333333333,0.31666666666666665
29,6.0,0.6896551724137931,0.3103448275862069
30,7.0,0.7169811320754718,0.2830188679245283
31,5.0,0.7,0.3
32,2.0,0.6691896705253785,0.3308103294746215
33,3.0,0.5327380952380952,0.46726190476190477
34,4.0,0.515625,0.484375
35,5.0,0.4885057471264368,0.5114942528735632
36,3.0,0.6017964071856288,0.39820359281437123
37,4.0,0.6041666666666667,0.3958333333333333
38,3.0,0.5975609756097561,0.4024390243902439
39,4.0,0.6375,0.3625
40,3.0,0.6755555555555556,0.3244444444444444
41,4.0,0.7479674796747968,0.25203252032520324
42,5.0,0.7479338842975207,0.25206611570247933
43,6.0,0.7347826086956522,0.26521739130434785
44,7.0,0.9,0.1
45,3.0,0.6510791366906474,0.3489208633093525
46,4.0,0.6564885496183206,0.3435114503816794
47,3.0,0.9214285714285715,0.07857142857142857
48,4.0,0.9807692307692307,0.019230769230769232
49,4.0,0.875,0.125
50,3.0,0.55,0.45
51,2.0,0.47184337879454463,0.5281566212054554
52,3.0,0.39317507418397624,0.6068249258160238
53,4.0,0.4430051813471503,0.5569948186528497
54,5.0,0.45058139534883723,0.5494186046511628
55,6.0,0.4193548387096774,0.5806451612903226
56,7.0,0.37,0.63
57,4.0,0.32638888888888884,0.6736111111111112
58,3.0,0.3709677419354839,0.6290322580645161
59,3.0,0.48269230769230764,0.5173076923076924
60,4.0,0.4558823529411765,0.5441176470588235
61,4.0,0.5135135135135135,0.4864864864864865
62,4.0,0.48809523809523814,0.5119047619047619
63,3.0,0.4726224783861671,0.5273775216138329
64,4.0,0.5,0.5
65,5.0,0.543859649122807,0.45614035087719296
66,4.0,0.4571428571428572,0.5428571428571428
67,4.0,0.5094339622641509,0.49056603773584906
68,4.0,0.48026315789473684,0.5197368421052632
69,3.0,0.388235294117647,0.611764705882353
70,4.0,0.375,0.625
71,5.0,0.36363636363636365,0.6363636363636364
72,4.0,0.3650793650793651,0.6349206349206349
73,5.0,0.38983050847457623,0.6101694915254238
74,5.0,0.34328358208955223,0.6567164179104478
75,3.0,0.5798429319371727,0.4201570680628272
76,4.0,0.515625,0.484375
77,4.0,0.6060606060606061,0.3939393939393939
78,4.0,0.6058823529411765,0.3941176470588235
79,3.0,0.44940476190476186,0.5505952380952381
80,4.0,0.4626865671641791,0.5373134328358209
81,4.0,0.44059405940594054,0.5594059405940595
82,3.0,0.5362776025236593,0.4637223974763407
83,4.0,0.4807692307692307,0.5192307692307693
84,4.0,0.5086206896551724,0.49137931034482757
85,5.0,0.5175438596491229,0.4824561403508772
86,4.0,0.47282608695652173,0.5271739130434783
87,3.0,0.463855421686747,0.536144578313253
88,4.0,0.43999999999999995,0.56
89,2.0,0.6029532403609517,0.3970467596390484
90,3.0,0.565989847715736,0.434010152284264
91,4.0,0.5194174757281553,0.48058252427184467
92,4.0,0.5837209302325581,0.41627906976744183
93,5.0,0.5731707317073171,0.4268292682926829
94,6.0,0.5616438356164384,0.4383561643835616
95,5.0,0.6071428571428572,0.39285714285714285
96,4.0,0.5789473684210527,0.42105263157894735
97,3.0,0.6206060606060606,0.3793939393939394
98,4.0,0.6364902506963788,0.3635097493036212
99,5.0,0.6085972850678734,0.3914027149321267
100,6.0,0.575,0.425
101,7.0,0.5689655172413793,0.43103448275862066
102,8.0,0.5714285714285714,0.42857142857142855
103,6.0,0.6485148514851485,0.35148514851485146
104,7.0,0.6101694915254237,0.3898305084745763
105,5.0,0.6811594202898551,0.3188405797101449
106,6.0,0.7375,0.2625
107,4.0,0.6083690987124464,0.3916309012875536
108,5.0,0.5910714285714286,0.4089285714285714
109,6.0,0.5588235294117647,0.4411764705882353
110,6.0,0.6409090909090909,0.35909090909090907
111,7.0,0.6186440677966102,0.3813559322033898
112,7.0,0.6666666666666667,0.3333333333333333
113,5.0,0.6344086021505376,0.3655913978494624
114,2.0,0.6170130869899924,0.3829869130100077
115,3.0,0.6233766233766234,0.37662337662337664
116,4.0,0.6058394160583942,0.39416058394160586
117,5.0,0.5833333333333333,0.4166666666666667
118,6.0,0.5932203389830508,0.4067796610169492
119,5.0,0.6233766233766234,0.37662337662337664
120,4.0,0.648936170212766,0.35106382978723405
121,5.0,0.625,0.375
122,6.0,0.625,0.375
123,7.0,0.5700000000000001,0.43
124,3.0,0.6014925373134328,0.39850746268656717
125,4.0,0.609375,0.390625
126,4.0,0.7019230769230769,0.2980769230769231
127,4.0,0.6,0.4
128,3.0,0.6885714285714286,0.31142857142857144
129,3.0,0.4301075268817204,0.5698924731182796
130,3.0,0.5635838150289018,0.43641618497109824
131,4.0,0.4607843137254902,0.5392156862745098
132,4.0,0.7112676056338028,0.2887323943661972
133,3.0,0.69,0.31
134,4.0,0.7218045112781954,0.2781954887218045
135,5.0,0.7327586206896552,0.2672413793103448
136,5.0,0.7133333333333334,0.2866666666666667
137,4.0,0.6268656716417911,0.373134328358209
138,3.0,0.6521739130434783,0.34782608695652173
139,4.0,0.7109375,0.2890625
140,2.0,0.5817438692098093,0.41825613079019075
141,3.0,0.5966850828729282,0.40331491712707185
142,4.0,0.5963455149501662,0.40365448504983387
143,5.0,0.6551724137931034,0.3448275862068966
144,6.0,0.6538461538461539,0.34615384615384615
145,5.0,0.5634920634920635,0.4365079365079365
146,5.0,0.5576923076923077,0.4423076923076923
147,5.0,0.5858585858585859,0.41414141414141414
148,6.0,0.5614035087719298,0.43859649122807015
149,4.0,0.6139896373056994,0.3860103626943005
150,4.0,0.5516304347826086,0.4483695652173913
151,5.0,0.5071428571428571,0.4928571428571429
152,6.0,0.5073529411764706,0.49264705882352944
153,7.0,0.49,0.51
154,5.0,0.5789473684210527,0.42105263157894735
155,6.0,0.6129032258064516,0.3870967741935484
156,7.0,0.6083333333333334,0.39166666666666666
157,8.0,0.6016949152542372,0.3983050847457627
158,6.0,0.5384615384615384,0.46153846153846156
159,4.0,0.6189427312775331,0.381057268722467
160,3.0,0.6013171225937184,0.39868287740628167
161,4.0,0.6039603960396039,0.39603960396039606
162,5.0,0.6166666666666667,0.38333333333333336
163,6.0,0.6493506493506493,0.35064935064935066
164,7.0,0.6791044776119404,0.3208955223880597
165,4.0,0.6715686274509804,0.3284313725490196
166,4.0,0.5695652173913044,0.43043478260869567
167,5.0,0.5714285714285714,0.42857142857142855
168,4.0,0.6148648648648649,0.38513513513513514
