subset,scores,kendall_tau,num_instances
algebra,"dart-math-llama3-8b-uniform    0.665543
deepseek-math-7b-instruct      0.691660
gpt-4o-mini-2024-07-18         0.882056
Llama-3-8B-Instruct            0.444819
Llama-3.1-8B-Instruct          0.717776
dtype: float64",0.9999999999999999,1187
counting_and_probability,"dart-math-llama3-8b-uniform    0.345992
deepseek-math-7b-instruct      0.375527
gpt-4o-mini-2024-07-18         0.725738
Llama-3-8B-Instruct            0.223629
Llama-3.1-8B-Instruct          0.426160
dtype: float64",0.9999999999999999,474
geometry,"dart-math-llama3-8b-uniform    0.323591
deepseek-math-7b-instruct      0.382046
gpt-4o-mini-2024-07-18         0.565762
Llama-3-8B-Instruct            0.208768
Llama-3.1-8B-Instruct          0.377871
dtype: float64",0.7999999999999999,479
intermediate_algebra,"dart-math-llama3-8b-uniform    0.253599
deepseek-math-7b-instruct      0.225914
gpt-4o-mini-2024-07-18         0.460687
Llama-3-8B-Instruct            0.130676
Llama-3.1-8B-Instruct          0.260244
dtype: float64",0.7999999999999999,903
number_theory,"dart-math-llama3-8b-uniform    0.357407
deepseek-math-7b-instruct      0.353704
gpt-4o-mini-2024-07-18         0.725926
Llama-3-8B-Instruct            0.231481
Llama-3.1-8B-Instruct          0.444444
dtype: float64",0.7999999999999999,540
prealgebra,"dart-math-llama3-8b-uniform    0.656716
deepseek-math-7b-instruct      0.690011
gpt-4o-mini-2024-07-18         0.900115
Llama-3-8B-Instruct            0.497130
Llama-3.1-8B-Instruct          0.691160
dtype: float64",0.9999999999999999,871
precalculus,"dart-math-llama3-8b-uniform    0.293040
deepseek-math-7b-instruct      0.315018
gpt-4o-mini-2024-07-18         0.457875
Llama-3-8B-Instruct            0.172161
Llama-3.1-8B-Instruct          0.315018
dtype: float64",0.9486832980505137,546
